hh_u0a,shock_sev,shock_type
Unusually High Level of Crop Pests or Disease,,Agricultural
Unusually High Costs ofAgricultural Inputs,3rd most severe,Agricultural
Unusually High Prices for Food,2nd most severe,Food Prices
Household (Non-Agricultural) Business Failure  (Not due to Illness or Accident),,Financial
Birth in the Household,Most severe,Health
Drought/Irregular Rains,2nd most severe,Disaster
Earthquakes,3rd most severe,Disaster
Serious Ilness or Accident of Household Member(s),Most severe,Health
Drought/Irregular Rains,,Disaster
Floods/Landslides,3rd most severe,Disaster
Death of Other Household Member(s),Most severe,Health
Theft of Money/Valuables/Assets/Agricultural Output,2nd most severe,Conflict
Unusually High Costs ofAgricultural Inputs,Most severe,Agricultural
Birth in the Household,2nd most severe,Health
Earthquakes,3rd most severe,Disaster
Unusually High Costs ofAgricultural Inputs,2nd most severe,Agricultural
Theft of Money/Valuables/Assets/Agricultural Output,Most severe,Conflict
Unusually High Level of Crop Pests or Disease,3rd most severe,Agricultural
Unusually High Level of Livestock Disease,2nd most severe,Agricultural
Unusually High Costs ofAgricultural Inputs,Most severe,Agricultural
Unusually High Costs ofAgricultural Inputs,2nd most severe,Agricultural
Serious Ilness or Accident of Household Member(s),Most severe,Health
Theft of Money/Valuables/Assets/Agricultural Output,3rd most severe,Conflict
Unusually High Level of Livestock Disease,2nd most severe,Agricultural
Unusually High Costs ofAgricultural Inputs,Most severe,Agricultural
Drought/Irregular Rains,Most severe,Disaster
Unusually High Level of Crop Pests or Disease,3rd most severe,Agricultural
Unusually High Prices for Food,2nd most severe,Food Prices
Unusually High Level of Livestock Disease,3rd most severe,Agricultural
Unusually High Costs ofAgricultural Inputs,Most severe,Agricultural
Unusually High Prices for Food,2nd most severe,Food Prices
Earthquakes,3rd most severe,Disaster
Unusually High Costs ofAgricultural Inputs,2nd most severe,Agricultural
Unusually High Prices for Food,Most severe,Food Prices
Drought/Irregular Rains,Most severe,Disaster
Unusually High Costs ofAgricultural Inputs,2nd most severe,Agricultural
Drought/Irregular Rains,3rd most severe,Disaster
Unusually High Prices for Food,Most severe,Food Prices
End of Regular Assistance/Aid/ Remittances From Outside Household,2nd most severe,Financial
Earthquakes,2nd most severe,Disaster
Unusually High Costs ofAgricultural Inputs,Most severe,Agricultural
Earthquakes,2nd most severe,Disaster
Unusually High Prices for Food,Most severe,Food Prices
Drought/Irregular Rains,Most severe,Disaster
Earthquakes,2nd most severe,Disaster
Drought/Irregular Rains,Most severe,Disaster
Earthquakes,2nd most severe,Disaster
Drought/Irregular Rains,2nd most severe,Disaster
Earthquakes,3rd most severe,Disaster
Unusually High Costs ofAgricultural Inputs,Most severe,Agricultural
Drought/Irregular Rains,Most severe,Disaster
Earthquakes,2nd most severe,Disaster
Drought/Irregular Rains,2nd most severe,Disaster
Earthquakes,,Disaster
Unusually High Level of Livestock Disease,,Agricultural
Unusually High Costs ofAgricultural Inputs,3rd most severe,Agricultural
Birth in the Household,Most severe,Health
Earthquakes,Most severe,Disaster
Drought/Irregular Rains,Most severe,Disaster
Earthquakes,,Disaster
Unusually Low Prices forAgricultural Output,2nd most severe,Agricultural
Unusually High Costs ofAgricultural Inputs,3rd most severe,Agricultural
Drought/Irregular Rains,3rd most severe,Disaster
Earthquakes,,Disaster
Unusually Low Prices forAgricultural Output,,Agricultural
Unusually High Prices for Food,,Food Prices
Serious Ilness or Accident of Household Member(s),2nd most severe,Health
Death of Other Household Member(s),Most severe,Health
Drought/Irregular Rains,Most severe,Disaster
Earthquakes,,Disaster
Unusually High Level of Livestock Disease,,Agricultural
Unusually Low Prices forAgricultural Output,2nd most severe,Agricultural
Unusually High Costs ofAgricultural Inputs,,Agricultural
Unusually High Prices for Food,,Food Prices
Birth in the Household,3rd most severe,Health
Earthquakes,Most severe,Disaster
Drought/Irregular Rains,3rd most severe,Disaster
Unusually High Costs ofAgricultural Inputs,2nd most severe,Agricultural
Break-Up of Household,Most severe,Other
Earthquakes,Most severe,Disaster
Drought/Irregular Rains,2nd most severe,Disaster
Earthquakes,,Disaster
Unusually Low Prices forAgricultural Output,3rd most severe,Agricultural
Unusually High Costs ofAgricultural Inputs,Most severe,Agricultural
Unusually High Prices for Food,,Food Prices
Drought/Irregular Rains,2nd most severe,Disaster
Earthquakes,,Disaster
Unusually High Costs ofAgricultural Inputs,3rd most severe,Agricultural
Unusually High Prices for Food,Most severe,Food Prices
Drought/Irregular Rains,Most severe,Disaster
Unusually High Costs ofAgricultural Inputs,3rd most severe,Agricultural
Unusually High Prices for Food,,Food Prices
Serious Ilness or Accident of Household Member(s),2nd most severe,Health
Death of Other Household Member(s),Most severe,Health
Floods/Landslides,,Disaster
Unusually High Level of Livestock Disease,2nd most severe,Agricultural
Unusually High Costs ofAgricultural Inputs,3rd most severe,Agricultural
Unusually High Prices for Food,,Food Prices
Serious Ilness or Accident of Household Member(s),Most severe,Health
Serious Ilness or Accident of Household Member(s),Most severe,Health
Floods/Landslides,2nd most severe,Disaster
Unusually High Prices for Food,Most severe,Food Prices
Drought/Irregular Rains,2nd most severe,Disaster
Earthquakes,3rd most severe,Disaster
Unusually High Costs ofAgricultural Inputs,Most severe,Agricultural
Drought/Irregular Rains,2nd most severe,Disaster
Unusually Low Prices forAgricultural Output,3rd most severe,Agricultural
Unusually High Prices for Food,Most severe,Food Prices
Drought/Irregular Rains,2nd most severe,Disaster
Unusually Low Prices forAgricultural Output,Most severe,Agricultural
Earthquakes,2nd most severe,Disaster
Unusually High Costs ofAgricultural Inputs,Most severe,Agricultural
Break-Up of Household,Most severe,Other
Earthquakes,2nd most severe,Disaster
Unusually High Costs ofAgricultural Inputs,Most severe,Agricultural
Death of Other Household Member(s),Most severe,Health
Unusually High Prices for Food,2nd most severe,Food Prices
End of Regular Assistance/Aid/ Remittances From Outside Household,Most severe,Financial
Earthquakes,3rd most severe,Disaster
Unusually Low Prices forAgricultural Output,Most severe,Agricultural
Unusually High Prices for Food,2nd most severe,Food Prices
Earthquakes,Most severe,Disaster
Drought/Irregular Rains,2nd most severe,Disaster
Earthquakes,,Disaster
Unusually Low Prices forAgricultural Output,,Agricultural
Unusually High Costs ofAgricultural Inputs,Most severe,Agricultural
Unusually High Prices for Food,,Food Prices
Birth in the Household,3rd most severe,Health
Drought/Irregular Rains,Most severe,Disaster
Unusually High Costs ofAgricultural Inputs,Most severe,Agricultural
Drought/Irregular Rains,Most severe,Disaster
Drought/Irregular Rains,2nd most severe,Disaster
Unusually Low Prices forAgricultural Output,Most severe,Agricultural
Unusually Low Prices forAgricultural Output,Most severe,Agricultural
Unusually High Costs ofAgricultural Inputs,2nd most severe,Agricultural
Unusually Low Prices forAgricultural Output,Most severe,Agricultural
Unusually High Costs ofAgricultural Inputs,2nd most severe,Agricultural
Unusually Low Prices forAgricultural Output,Most severe,Agricultural
Unusually High Costs ofAgricultural Inputs,2nd most severe,Agricultural
Unusually Low Prices forAgricultural Output,Most severe,Agricultural
Earthquakes,Most severe,Disaster
Earthquakes,Most severe,Disaster
Earthquakes,Most severe,Disaster
Earthquakes,Most severe,Disaster
Drought/Irregular Rains,2nd most severe,Disaster
Earthquakes,Most severe,Disaster
Drought/Irregular Rains,Most severe,Disaster
Earthquakes,3rd most severe,Disaster
Break-Up of Household,2nd most severe,Other
Drought/Irregular Rains,Most severe,Disaster
Earthquakes,2nd most severe,Disaster
Drought/Irregular Rains,Most severe,Disaster
Earthquakes,2nd most severe,Disaster
Earthquakes,Most severe,Disaster
